model_id,mean_per_class_error,logloss,rmse,mse
GLM_1_AutoML_1_20250331_161536,0.028042328042328,0.075902955676649,0.1554335426066281,0.0241595861672464
XGBoost_grid_1_AutoML_1_20250331_161536_model_7,0.0375661375661375,0.1908465803879966,0.2113159630607008,0.0446544362442714
XGBoost_grid_1_AutoML_1_20250331_161536_model_3,0.0375661375661375,0.1869253289937035,0.2062873650116443,0.0425544769634473
XGBoost_grid_1_AutoML_1_20250331_161536_model_4,0.0375661375661375,0.1897860203506403,0.2119901043190896,0.0449398043292185
GBM_5_AutoML_1_20250331_161536,0.0378306878306878,0.123704913675288,0.1837483013285555,0.0337634382411296
GBM_grid_1_AutoML_1_20250331_161536_model_1,0.0378306878306878,0.1455314409519791,0.1951880993987485,0.0380983941468957
GBM_4_AutoML_1_20250331_161536,0.0468253968253968,0.1210256526239823,0.1905801493914504,0.0363207933420675
XGBoost_2_AutoML_1_20250331_161536,0.047089947089947,0.23683064371087,0.2392100725798821,0.0572214588236724
XGBoost_grid_1_AutoML_1_20250331_161536_model_5,0.0563492063492063,0.1482876372762542,0.2008764935423537,0.0403513656578712
GBM_grid_1_AutoML_1_20250331_161536_model_2,0.0563492063492063,0.1244453998825725,0.1950074876498018,0.0380279202394876
GBM_grid_1_AutoML_1_20250331_161536_model_5,0.0563492063492063,0.1273255178890816,0.1992151540984518,0.0396866776224699
XGBoost_3_AutoML_1_20250331_161536,0.0566137566137566,0.1670022565939648,0.2058204562471742,0.0423620602097949
GBM_2_AutoML_1_20250331_161536,0.0566137566137566,0.129606012897999,0.1968405634372786,0.0387462074143053
XGBoost_grid_1_AutoML_1_20250331_161536_model_1,0.0656084656084656,0.1543806644290543,0.2148779522489994,0.0461725343627232
GBM_grid_1_AutoML_1_20250331_161536_model_4,0.0658730158730158,0.1259445076983086,0.1948442515528963,0.0379642823632083
GBM_3_AutoML_1_20250331_161536,0.0658730158730158,0.1304977242550047,0.2027335723114825,0.0411009013421751
XGBoost_grid_1_AutoML_1_20250331_161536_model_2,0.0751322751322751,0.1715541191699471,0.2260900143417324,0.0511166945850448
GBM_grid_1_AutoML_1_20250331_161536_model_3,0.0753968253968253,0.2192528470009397,0.2525190499421891,0.0637658705837057
XGBoost_1_AutoML_1_20250331_161536,0.1497354497354497,0.5281564821579471,0.4129574878051608,0.1705338867343495
XGBoost_grid_1_AutoML_1_20250331_161536_model_6,0.6759259259259259,1.0990702017734528,0.6667758572514583,0.4445900438134171
